Item_ID,Order_ID,Customer_ID,Customer_Name,Email,Registered_Date,Order_Date,Product_ID,Product_Name,Category,Quantity,Unit_Price,Total_Price,Payment_ID,Payment_Method,Country,Status
I001,OI01,C9376,Steve Williams,thull@yahoo.com,1/18/2025,3/4/2025,P10,Wrist Watch,Accessories,4,79.92,319.68,P001,UPI,Germany,Shipped
I002,OI02,C4578,Susan Wagner,katelynmontgomery@yahoo.com,2/4/2024,8/28/2024,P01,Adidas Hoodie,Clothing,4,549.91,2199.64,P002,Net Banking,UK,Shipped
I003,OI03,C5104,Michele Guzman,corey15@castro-gomez.com,9/3/2024,3/30/2025,P01,Adidas Hoodie,Clothing,2,1138.59,2277.18,P003,Net Banking,India,Delivered
I004,OI04,C2208,Christine Tran,bryan80@gmail.com,8/5/2024,12/4/2024,P02,Backpack,Accessories,2,479.02,958.04,P004,Debit Card,Germany,Shipped
I005,OI05,C6180,Michelle Glover,vclayton@cross.com,12/11/2024,1/15/2025,P08,Office Chair,Furniture,1,543.61,543.61,P005,Net Banking,India,Delivered
I006,OI06,C9541,Connie Pratt,udavis@bolton.com,11/23/2024,6/24/2024,P07,Nike Sneakers,Footwear,5,725.97,3629.85,P006,Debit Card,USA,Placed
I007,OI07,C7534,Gary Nielsen,sean96@johnston-roberts.com,8/23/2024,1/10/2025,P08,Office Chair,Furniture,1,158.04,158.04,P007,Credit Card,France,Delivered
I008,OI08,C6328,Lonnie Douglas,daviskatherine@gmail.com,1/23/2024,2/24/2025,P03,Bluetooth Speaker,Electronics,3,380.99,1142.97,P008,Credit Card,UK,Placed
I009,OI09,C3334,Bobby Lyons,aimee33@hotmail.com,12/28/2024,4/4/2025,P02,Backpack,Accessories,2,373.15,746.3,P009,Net Banking,Germany,Shipped
I010,OI10,C9322,Jennifer Hill,christopher91@yahoo.com,1/27/2024,11/26/2024,P06,MacBook Pro,Electronics,1,1489.97,1489.97,P010,UPI,USA,Delivered
I011,OI11,C3044,Sarah Sanchez,thorntonnathan@gmail.com,11/20/2024,11/24/2024,P01,Adidas Hoodie,Clothing,5,450.81,2254.05,P011,Net Banking,Canada,Shipped
I012,OI12,C9965,Antonio Logan,montoyacynthia@guzman.com,3/6/2024,8/18/2024,P08,Office Chair,Furniture,2,1446.48,2892.96,P012,Net Banking,Canada,Palced
I013,OI13,C7306,Barbara Davis,jacobsjames@robbins.com,8/9/2024,12/2/2024,P03,Bluetooth Speaker,Electronics,1,902.5,902.5,P013,Debit Card,France,Shipped
I014,OI14,C4059,Taylor Johnson,huffchad@gmail.com,8/19/2024,1/18/2025,P07,Nike Sneakers,Footwear,3,292.13,876.39,P014,Credit Card,France,Delivered
I015,OI15,C3133,Jeffrey Brown,carlsonholly@yahoo.com,5/25/2024,12/18/2024,P01,Adidas Hoodie,Clothing,4,122.25,489,P015,PayPal,USA,Shipped
I016,OI16,C9594,Tanner Harrison,tammybrown@moore.com,5/18/2024,6/27/2024,P06,MacBook Pro,Electronics,5,1031.58,5157.9,P016,Debit Card,France,Placed
I017,OI17,C7871,Mary Smith,deborah64@gmail.com,4/4/2024,11/28/2024,P07,Nike Sneakers,Footwear,2,1344.66,2689.32,P017,Net Banking,Canada,Delivered
I018,OI18,C6855,Judith Miller,dennis75@roberts.org,10/11/2024,11/14/2024,P03,Bluetooth Speaker,Electronics,4,997.16,3988.64,P018,Credit Card,Canada,Delivered
I019,OI19,C6493,Jasmine Perry,wheelerholly@allen.info,8/10/2024,6/1/2024,P02,Backpack,Accessories,1,739.94,739.94,P019,PayPal,UK,Shipped
I020,OI20,C4612,Megan Baxter,ksavage@barton-fletcher.com,10/6/2024,9/5/2024,P05,iPhone 14,Electronics,3,193.36,580.08,P020,Debit Card,Australia,Delivered
I021,OI21,C2018,Michael Griffin,hensontroy@yahoo.com,12/1/2024,9/30/2024,P09,Sony Headphones,Electronics,3,650.67,1952.01,P021,Credit Card,Australia,Shipped
I022,OI22,C9752,Robert Golden,amymccarty@gmail.com,6/27/2024,3/2/2025,P09,Sony Headphones,Electronics,2,86.95,173.9,P022,Net Banking,India,Placed
I023,OI23,C4088,Victoria Morales,aaron00@hotmail.com,12/8/2024,3/2/2025,P06,MacBook Pro,Electronics,1,204.18,204.18,P023,Net Banking,Australia,Shipped
I024,OI24,C7064,Cheryl Franklin,joshua21@nash-sanders.com,11/28/2024,11/2/2024,P02,Backpack,Accessories,1,598.99,598.99,P024,Credit Card,USA,Delivered
I025,OI25,C4030,Jesse Sparks,desireeroth@hotmail.com,12/14/2024,4/19/2024,P02,Backpack,Accessories,1,307.99,307.99,P025,Credit Card,Germany,Placed
I026,OI26,C1373,Christopher York,harrisjordan@potts-mays.com,12/6/2024,8/23/2024,P07,Nike Sneakers,Footwear,1,1406.71,1406.71,P026,Net Banking,Germany,Cancelled
I027,OI27,C2146,Meredith Rios,iwatson@gmail.com,6/24/2024,3/5/2025,P02,Backpack,Accessories,1,1257.14,1257.14,P027,PayPal,USA,Delivered
