Order_ID,Customer_ID,Customer_Name,Email,Order_Date,Product,Category,Quantity,Unit_Price,Total_Price,Payment_Method,Shipping_Country
OI01,CUST9376,Steve Williams,thull@yahoo.com,3/4/2025,Wrist Watch,Accessories,4,79.92,319.68,UPI,Germany
OI02,CUST4578,Susan Wagner,katelynmontgomery@yahoo.com,8/28/2024,Adidas Hoodie,Clothing,4,549.91,2199.64,Net Banking,UK
OI03,CUST5104,Michele Guzman,corey15@castro-gomez.com,3/30/2025,Adidas Hoodie,Clothing,2,1138.59,2277.18,Net Banking,India
OI04,CUST2208,Christine Tran,bryan80@gmail.com,12/4/2024,Backpack,Accessories,2,479.02,958.04,Debit Card,Germany
OI05,CUST6180,Michelle Glover,vclayton@cross.com,1/15/2025,Office Chair,Furniture,1,543.61,543.61,Net Banking,India
OI06,CUST9541,Connie Pratt,udavis@bolton.com,6/24/2024,Nike Sneakers,Footwear,5,725.97,3629.85,Debit Card,USA
OI07,CUST7534,Gary Nielsen,sean96@johnston-roberts.com,1/10/2025,Office Chair,Furniture,1,158.04,158.04,Credit Card,France
OI08,CUST6328,Lonnie Douglas,daviskatherine@gmail.com,2/24/2025,Bluetooth Speaker,Electronics,3,380.99,1142.97,Credit Card,UK
OI09,CUST3334,Bobby Lyons,aimee33@hotmail.com,4/4/2025,Backpack,Accessories,2,373.15,746.3,Net Banking,Germany
OI10,CUST9322,Jennifer Hill,christopher91@yahoo.com,11/26/2024,MacBook Pro,Electronics,1,1489.97,1489.97,UPI,USA
OI11,CUST3044,Sarah Sanchez,thorntonnathan@gmail.com,11/24/2024,Adidas Hoodie,Clothing,5,450.81,2254.05,Net Banking,Canada
OI12,CUST9965,Antonio Logan,montoyacynthia@guzman.com,8/18/2024,Office Chair,Furniture,2,1446.48,2892.96,Net Banking,Canada
OI13,CUST7306,Barbara Davis,jacobsjames@robbins.com,12/2/2024,Bluetooth Speaker,Electronics,1,902.5,902.5,Debit Card,France
OI14,CUST4059,Taylor Johnson,huffchad@gmail.com,1/18/2025,Nike Sneakers,Footwear,3,292.13,876.39,Credit Card,France
